animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
BA081,36,H6 50AID50,4.351415234,1,.,0,50,RNA_VL
31041,36,H6 50AID50,4.369771406,1,.,0,50,RNA_VL
BD536,105,Non H6 5AID50,2.777,2,.,0,5,DNA_blood
BL669,57,Non H6 50AID50,4.373050097,1,.,0,50,RNA_VL
BD536,169,Non H6 5AID50,2.638,2,.,0,5,DNA_blood
BB598,24,Non H6 50AID50,4.39440243,1,.,0,50,RNA_VL
BC657,36,H6 50AID50,4.39923464,1,.,0,50,RNA_VL
BD536,17,Non H6 5AID50,4.406120245,1,.,0,5,RNA_VL
BD885,423,Non H6 50AID50,4.409128876,1,.,0,50,RNA_VL
BA209,28,H6 50AID50,4.451907835,1,.,0,50,RNA_VL
BD536,336,Non H6 5AID50,2.508,2,.,0,5,DNA_blood
BB598,507,Non H6 50AID50,4.471089444,1,.,0,50,RNA_VL
BO186,36,Non H6 5AID50,4.473457338,1,.,0,5,RNA_VL
AV979,336,Non H6 50AID50,4.483484279,1,.,0,50,RNA_VL
BO413,24,Non H6 50AID50,4.484357574,1,.,0,50,RNA_VL
AV979,253,Non H6 50AID50,4.48732441,1,.,0,50,RNA_VL
BD885,7,Non H6 50AID50,2.428,2,.,0,50,DNA_blood
BO413,42,Non H6 50AID50,4.487947826,1,.,0,50,RNA_VL
29925,21,H6 50AID50,4.489128894,1,.,0,50,RNA_VL
BD536,9,Non H6 5AID50,4.509666954,1,.,0,5,RNA_VL
29915,21,H6 50AID50,4.516000926,1,.,0,50,RNA_VL
BD885,15,Non H6 50AID50,3.449,2,.,0,50,DNA_blood
AV979,224,Non H6 50AID50,4.522420933,1,.,0,50,RNA_VL
29915,24,H6 50AID50,4.528785224,1,.,0,50,RNA_VL
BC657,28,H6 50AID50,4.534791557,1,.,0,50,RNA_VL
BG927,9,Non H6 50AID50,4.549441299,1,.,0,50,RNA_VL
BD885,28,Non H6 50AID50,3.228,2,.,0,50,DNA_blood
BA081,7,H6 50AID50,4.549514958,1,.,0,50,RNA_VL
BD885,36,Non H6 50AID50,3.536,2,.,0,50,DNA_blood
BL669,28,Non H6 50AID50,4.549875337,1,.,0,50,RNA_VL
BL669,105,Non H6 50AID50,4.565075369,1,.,0,50,RNA_VL
BD885,57,Non H6 50AID50,3.438,2,.,0,50,DNA_blood
BL669,42,Non H6 50AID50,4.582772813,1,.,0,50,RNA_VL
BO186,24,Non H6 5AID50,4.584000205,1,.,0,5,RNA_VL
BD885,105,Non H6 50AID50,2.92,2,.,0,50,DNA_blood
31041,28,H6 50AID50,4.590233663,1,.,0,50,RNA_VL
BD885,169,Non H6 50AID50,3.095,2,.,0,50,DNA_blood
BO413,36,Non H6 50AID50,4.591273063,1,.,0,50,RNA_VL
29915,28,H6 50AID50,4.60872001,1,.,0,50,RNA_VL
BG927,24,Non H6 50AID50,4.609017091,1,.,0,50,RNA_VL
BO186,42,Non H6 5AID50,4.629392304,1,.,0,5,RNA_VL
BB598,21,Non H6 50AID50,4.679331602,1,.,0,50,RNA_VL
BD885,336,Non H6 50AID50,2.32,2,.,1,50,DNA_blood
AV979,423,Non H6 50AID50,4.689886017,1,.,0,50,RNA_VL
BB598,504,Non H6 50AID50,4.767541925,1,.,0,50,RNA_VL
BC179,9,Non H6 5AID50,4.77923466,1,.,0,5,RNA_VL
BO186,15,Non H6 5AID50,4.787969538,1,.,0,5,RNA_VL
BD885,24,Non H6 50AID50,4.799359468,1,.,0,50,RNA_VL
BA081,28,H6 50AID50,4.811791972,1,.,0,50,RNA_VL
BO186,21,Non H6 5AID50,4.841858115,1,.,0,5,RNA_VL
BG927,7,Non H6 50AID50,1.799,2,.,0,50,DNA_blood
BC657,24,H6 50AID50,4.86349264,1,.,0,50,RNA_VL
BD885,9,Non H6 50AID50,4.874840367,1,.,0,50,RNA_VL
29915,9,H6 50AID50,4.886481658,1,.,0,50,RNA_VL
BD536,21,Non H6 5AID50,4.898028926,1,.,0,5,RNA_VL
BG927,15,Non H6 50AID50,3.045,2,.,0,50,DNA_blood
AV979,169,Non H6 50AID50,4.898280266,1,.,0,50,RNA_VL
BO413,28,Non H6 50AID50,4.899110326,1,.,0,50,RNA_VL
BA209,24,H6 50AID50,4.9267313,1,.,0,50,RNA_VL
BL669,24,Non H6 50AID50,4.96411049,1,.,0,50,RNA_VL
BG927,28,Non H6 50AID50,3.63,2,.,0,50,DNA_blood
29925,14,H6 50AID50,5.003724345,1,.,0,50,RNA_VL
BG927,36,Non H6 50AID50,3.57,2,.,0,50,DNA_blood
AV979,192,Non H6 50AID50,5.005348116,1,.,0,50,RNA_VL
BA081,24,H6 50AID50,5.039903939,1,.,0,50,RNA_VL
BG927,57,Non H6 50AID50,3.29,2,.,0,50,DNA_blood
BD536,15,Non H6 5AID50,5.042439884,1,.,0,5,RNA_VL
BD885,28,Non H6 50AID50,5.052218457,1,.,0,50,RNA_VL
BG927,105,Non H6 50AID50,2.91,2,.,0,50,DNA_blood
BC094,14,Non H6 5AID50,5.053745185,1,.,0,5,RNA_VL
BG927,169,Non H6 50AID50,2.567,2,.,0,50,DNA_blood
BC657,9,H6 50AID50,5.057251054,1,.,0,50,RNA_VL
29925,15,H6 50AID50,5.059578288,1,.,0,50,RNA_VL
BG927,36,Non H6 50AID50,5.081595369,1,.,0,50,RNA_VL
BB598,17,Non H6 50AID50,5.093603064,1,.,0,50,RNA_VL
BO186,17,Non H6 5AID50,5.111952714,1,.,0,5,RNA_VL
BG927,336,Non H6 50AID50,2.898,2,.,0,50,DNA_blood
31041,24,H6 50AID50,5.114526055,1,.,0,50,RNA_VL
29925,17,H6 50AID50,5.132721275,1,.,0,50,RNA_VL
BD885,42,Non H6 50AID50,5.143653915,1,.,0,50,RNA_VL
BO186,9,Non H6 5AID50,5.158575907,1,.,0,5,RNA_VL
BA209,9,H6 50AID50,5.164138415,1,.,0,50,RNA_VL
BL669,7,Non H6 50AID50,2.822,2,.,0,50,DNA_blood
AV979,105,Non H6 50AID50,5.183127026,1,.,0,50,RNA_VL
BL669,21,Non H6 50AID50,5.194213542,1,.,0,50,RNA_VL
31041,21,H6 50AID50,5.245210323,1,.,0,50,RNA_VL
AV979,70,Non H6 50AID50,5.26838905,1,.,0,50,RNA_VL
BL669,15,Non H6 50AID50,4.32,2,.,0,50,DNA_blood
BO413,9,Non H6 50AID50,5.291878626,1,.,0,50,RNA_VL
BL669,9,Non H6 50AID50,5.297522996,1,.,0,50,RNA_VL
BA209,21,H6 50AID50,5.325167939,1,.,0,50,RNA_VL
29915,15,H6 50AID50,5.334370252,1,.,0,50,RNA_VL
BL669,28,Non H6 50AID50,3.896,2,.,0,50,DNA_blood
AV979,11,Non H6 50AID50,5.335186337,1,.,0,50,RNA_VL
BL669,36,Non H6 50AID50,3.805,2,.,0,50,DNA_blood
BD885,36,Non H6 50AID50,5.342142196,1,.,0,50,RNA_VL
BA081,21,H6 50AID50,5.354628425,1,.,0,50,RNA_VL
BL669,57,Non H6 50AID50,3.588,2,.,0,50,DNA_blood
BB598,11,Non H6 50AID50,5.361911422,1,.,0,50,RNA_VL
BC657,21,H6 50AID50,5.407156563,1,.,0,50,RNA_VL
BL669,105,Non H6 50AID50,3.406,2,.,0,50,DNA_blood
BA209,15,H6 50AID50,5.418942964,1,.,0,50,RNA_VL
BL669,169,Non H6 50AID50,3.39,2,.,0,50,DNA_blood
31041,9,H6 50AID50,5.422692298,1,.,0,50,RNA_VL
BD885,21,Non H6 50AID50,5.450480017,1,.,0,50,RNA_VL
BG927,17,Non H6 50AID50,5.457994862,1,.,0,50,RNA_VL
31041,17,H6 50AID50,5.471106003,1,.,0,50,RNA_VL
BC179,21,Non H6 5AID50,5.478603134,1,.,0,5,RNA_VL
