animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
AV979,17,Non H6 50AID50,6.917671246,1,.,0,50,RNA_VL
BC657,14,H6 50AID50,7.093741292,1,.,0,50,RNA_VL
29915,-21,H6 50AID50,0.21447,3,.,0,50,p27
29915,15,H6 50AID50,-0.0021,3,.,0,50,p27
29915,36,H6 50AID50,0.19849,3,.,0,50,p27
29915,70,H6 50AID50,0.30087,3,.,0,50,p27
29915,113,H6 50AID50,0.07642,3,.,0,50,p27
29915,169,H6 50AID50,2.20965,3,.,0,50,p27
29915,337,H6 50AID50,0.95114,3,.,0,50,p27
29915,535,H6 50AID50,0.57991,3,.,0,50,p27
29925,-21,H6 50AID50,0.11227,3,.,0,50,p27
29925,15,H6 50AID50,0.44255,3,.,0,50,p27
29925,36,H6 50AID50,-0.52467,3,.,0,50,p27
29925,70,H6 50AID50,0.23564,3,.,0,50,p27
29925,113,H6 50AID50,-1.1928,3,.,0,50,p27
29925,169,H6 50AID50,-0.62756,3,.,0,50,p27
29925,337,H6 50AID50,-0.41999,3,.,0,50,p27
29925,540,H6 50AID50,0.14792,3,.,0,50,p27
31041,-21,H6 50AID50,-0.00642,3,.,0,50,p27
31041,15,H6 50AID50,0.10929,3,.,0,50,p27
31041,36,H6 50AID50,0.4963,3,.,0,50,p27
31041,70,H6 50AID50,0.78094,3,.,0,50,p27
31041,113,H6 50AID50,0.32707,3,.,0,50,p27
31041,169,H6 50AID50,1.86413,3,.,0,50,p27
31041,337,H6 50AID50,0.92893,3,.,0,50,p27
31041,514,H6 50AID50,0.00921,3,.,0,50,p27
BA081,-21,H6 50AID50,0.1589,3,.,0,50,p27
BA081,15,H6 50AID50,1.07487,3,.,0,50,p27
BA081,36,H6 50AID50,0.17675,3,.,0,50,p27
BA081,70,H6 50AID50,2.57542,3,.,0,50,p27
BA081,113,H6 50AID50,1.85906,3,.,0,50,p27
BA081,169,H6 50AID50,2.89763,3,.,0,50,p27
BA081,337,H6 50AID50,3.04314,3,.,0,50,p27
BA081,556,H6 50AID50,2.7868,3,.,0,50,p27
BA209,-21,H6 50AID50,-0.10553,3,.,0,50,p27
BA209,15,H6 50AID50,0.2039,3,.,0,50,p27
BA209,36,H6 50AID50,-0.28421,3,.,0,50,p27
BA209,70,H6 50AID50,0.78248,3,.,0,50,p27
BA209,113,H6 50AID50,0.52959,3,.,0,50,p27
BA209,169,H6 50AID50,0.62297,3,.,0,50,p27
BA209,337,H6 50AID50,0.26447,3,.,0,50,p27
BA209,567,H6 50AID50,1.54738,3,.,0,50,p27
BC657,-21,H6 50AID50,0.12855,3,.,0,50,p27
BC657,15,H6 50AID50,-0.52563,3,.,0,50,p27
BC657,36,H6 50AID50,-0.3293,3,.,0,50,p27
BC657,70,H6 50AID50,0.31447,3,.,0,50,p27
BC657,113,H6 50AID50,0.34552,3,.,0,50,p27
BC657,169,H6 50AID50,0.83835,3,.,0,50,p27
BC657,337,H6 50AID50,0.32311,3,.,0,50,p27
BC657,605,H6 50AID50,0.56727,3,.,0,50,p27
BC094,-21,Non H6 5AID50,0.22348,3,.,0,5,p27
BC094,15,Non H6 5AID50,-0.17164,3,.,0,5,p27
BC094,36,Non H6 5AID50,0.19256,3,.,0,5,p27
BC094,70,Non H6 5AID50,0.36132,3,.,0,5,p27
BC094,113,Non H6 5AID50,0.31194,3,.,0,5,p27
BC094,169,Non H6 5AID50,1.99186,3,.,0,5,p27
BC094,337,Non H6 5AID50,0.301,3,.,0,5,p27
BC094,435,Non H6 5AID50,0.12706,3,.,0,5,p27
BC179,-21,Non H6 5AID50,0.04704,3,.,0,5,p27
BC179,15,Non H6 5AID50,-0.41074,3,.,0,5,p27
BC179,36,Non H6 5AID50,0.02486,3,.,0,5,p27
BC179,70,Non H6 5AID50,0.49037,3,.,0,5,p27
BC179,113,Non H6 5AID50,0.27646,3,.,0,5,p27
BC179,169,Non H6 5AID50,0.34652,3,.,0,5,p27
BC179,337,Non H6 5AID50,1.625,3,.,0,5,p27
BC179,437,Non H6 5AID50,0.16285,3,.,0,5,p27
BD536,-21,Non H6 5AID50,0.30165,3,.,0,5,p27
BD536,15,Non H6 5AID50,0.34083,3,.,0,5,p27
BD536,36,Non H6 5AID50,-0.23968,3,.,0,5,p27
BD536,70,Non H6 5AID50,0.27898,3,.,0,5,p27
BD536,113,Non H6 5AID50,0.0146,3,.,0,5,p27
BD536,169,Non H6 5AID50,1.4906,3,.,0,5,p27
BD536,337,Non H6 5AID50,0.67287,3,.,0,5,p27
BD536,561,Non H6 5AID50,1.73916,3,.,0,5,p27
BO186,-21,Non H6 5AID50,0.19707,3,.,0,5,p27
BO186,15,Non H6 5AID50,0.40313,3,.,0,5,p27
BO186,36,Non H6 5AID50,-0.71158,3,.,0,5,p27
BO186,70,Non H6 5AID50,1.16212,3,.,0,5,p27
BO186,113,Non H6 5AID50,2.20658,3,.,0,5,p27
BO186,169,Non H6 5AID50,2.25163,3,.,0,5,p27
BO186,337,Non H6 5AID50,0.85099,3,.,0,5,p27
BO186,563,Non H6 5AID50,2.61117,3,.,0,5,p27
AV979,-21,Non H6 50AID50,-0.05145,3,.,0,50,p27
AV979,15,Non H6 50AID50,-0.08107,3,.,0,50,p27
AV979,70,Non H6 50AID50,-0.2182,3,.,0,50,p27
AV979,169,Non H6 50AID50,-0.00636,3,.,0,50,p27
AV979,337,Non H6 50AID50,0.84427,3,.,0,50,p27
AV979,442,Non H6 50AID50,-0.44929,3,.,0,50,p27
BB598,-21,Non H6 50AID50,-0.12735,3,.,0,50,p27
BB598,15,Non H6 50AID50,0.31609,3,.,0,50,p27
BB598,36,Non H6 50AID50,1.16613,3,.,0,50,p27
BB598,70,Non H6 50AID50,0.24608,3,.,0,50,p27
BB598,113,Non H6 50AID50,0.68932,3,.,0,50,p27
BB598,169,Non H6 50AID50,0,3,.,0,50,p27
BB598,337,Non H6 50AID50,2.17584,3,.,0,50,p27
BB598,507,Non H6 50AID50,0.35368,3,.,0,50,p27
BD885,-21,Non H6 50AID50,-0.03394,3,.,0,50,p27
BD885,15,Non H6 50AID50,-0.10638,3,.,0,50,p27
BD885,36,Non H6 50AID50,0.3465,3,.,0,50,p27
BD885,70,Non H6 50AID50,0.21518,3,.,0,50,p27
BD885,113,Non H6 50AID50,0.86402,3,.,0,50,p27
BD885,169,Non H6 50AID50,0.06971,3,.,0,50,p27
BD885,337,Non H6 50AID50,0.6995,3,.,0,50,p27
BD885,511,Non H6 50AID50,-0.00763,3,.,0,50,p27
BG927,-21,Non H6 50AID50,0.01428,3,.,0,50,p27
BG927,15,Non H6 50AID50,0.05794,3,.,0,50,p27
BG927,36,Non H6 50AID50,1.43901,3,.,0,50,p27
BG927,70,Non H6 50AID50,2.14135,3,.,0,50,p27
BG927,113,Non H6 50AID50,0.87025,3,.,0,50,p27
BG927,169,Non H6 50AID50,3.95182,3,.,0,50,p27
BG927,337,Non H6 50AID50,1.18423,3,.,0,50,p27
BG927,535,Non H6 50AID50,0.78429,3,.,0,50,p27
BL669,-21,Non H6 50AID50,0.03383,3,.,0,50,p27
BL669,15,Non H6 50AID50,0.27611,3,.,0,50,p27
BL669,36,Non H6 50AID50,0.64405,3,.,0,50,p27
BL669,70,Non H6 50AID50,0.25362,3,.,0,50,p27
BL669,113,Non H6 50AID50,1.42802,3,.,0,50,p27
BL669,169,Non H6 50AID50,1.08457,3,.,0,50,p27
BL669,337,Non H6 50AID50,2.30621,3,.,0,50,p27
BL669,528,Non H6 50AID50,2.1392,3,.,0,50,p27
BO413,-21,Non H6 50AID50,-0.15858,3,.,0,50,p27
BO413,15,Non H6 50AID50,0.26831,3,.,0,50,p27
BO413,36,Non H6 50AID50,1.86501,3,.,0,50,p27
BO413,70,Non H6 50AID50,-0.41599,3,.,0,50,p27
BO413,113,Non H6 50AID50,0.83032,3,.,0,50,p27
BO413,169,Non H6 50AID50,0.96584,3,.,0,50,p27
BO413,337,Non H6 50AID50,3.00575,3,.,0,50,p27
BO413,518,Non H6 50AID50,1.23787,3,.,0,50,p27
29915,-21,H6 50AID50,0.202423547,4,.,0,50,F
29915,15,H6 50AID50,0.01,4,0,1,50,F
29915,36,H6 50AID50,0.187070479,4,.,0,50,F
29915,70,H6 50AID50,0.286223354,4,.,0,50,F
29915,113,H6 50AID50,0.071243714,4,.,0,50,F
29915,169,H6 50AID50,2.62099143,4,.,0,50,F
29915,337,H6 50AID50,0.965097401,4,.,0,50,F
29915,535,H6 50AID50,0.566518785,4,.,0,50,F
29925,-21,H6 50AID50,0.104997507,4,.,0,50,F
29925,15,H6 50AID50,0.42663325,4,.,0,50,F
29925,36,H6 50AID50,0.01,4,0,1,50,F
29925,70,H6 50AID50,0.2228325,4,.,0,50,F
29925,113,H6 50AID50,0.01,4,0,1,50,F
29925,169,H6 50AID50,0.01,4,0,1,50,F
29925,337,H6 50AID50,0.01,4,0,1,50,F
29925,540,H6 50AID50,0.138777965,4,.,0,50,F
31041,-21,H6 50AID50,0.01,4,0,1,50,F
31041,15,H6 50AID50,0.102183539,4,.,0,50,F
31041,36,H6 50AID50,0.48091756,4,.,0,50,F
31041,70,H6 50AID50,0.778435189,4,.,0,50,F
31041,113,H6 50AID50,0.311903355,4,.,0,50,F
31041,169,H6 50AID50,2.108034496,4,.,0,50,F
31041,337,H6 50AID50,0.940340486,4,.,0,50,F
31041,514,H6 50AID50,0.01,4,0,1,50,F
BA081,-21,H6 50AID50,0.149225871,4,.,0,50,F
BA081,15,H6 50AID50,1.105315234,4,.,0,50,F
BA081,36,H6 50AID50,0.166255216,4,.,0,50,F
BA081,70,H6 50AID50,3.228937161,4,.,0,50,F
BA081,113,H6 50AID50,2.100892458,4,.,0,50,F
BA081,169,H6 50AID50,3.832669206,4,.,0,50,F
BA081,337,H6 50AID50,4.130236626,4,.,0,50,F
BA081,556,H6 50AID50,3.616896675,4,.,0,50,F
BA209,-21,H6 50AID50,0.01,4,0,1,50,F
BA209,15,H6 50AID50,0.192263203,4,.,0,50,F
BA209,36,H6 50AID50,0.01,4,0,1,50,F
BA209,70,H6 50AID50,0.78009338,4,.,0,50,F
BA209,113,H6 50AID50,0.514828861,4,.,0,50,F
BA209,169,H6 50AID50,0.611171059,4,.,0,50,F
BA209,337,H6 50AID50,0.250754743,4,.,0,50,F
BA209,567,H6 50AID50,1.680706322,4,.,0,50,F
BC657,-21,H6 50AID50,0.120396957,4,.,0,50,F
BC657,15,H6 50AID50,0.01,4,0,1,50,F
BC657,36,H6 50AID50,0.01,4,0,1,50,F
BC657,70,H6 50AID50,0.299537597,4,.,0,50,F
BC657,113,H6 50AID50,0.330063652,4,.,0,50,F
BC657,169,H6 50AID50,0.840624166,4,.,0,50,F
BC657,337,H6 50AID50,0.308013802,4,.,0,50,F
BC657,605,H6 50AID50,0.553485359,4,.,0,50,F
BC094,-21,Non H6 5AID50,0.211099925,4,.,0,5,F
BC094,15,Non H6 5AID50,0.01,4,0,1,5,F
BC094,36,Non H6 5AID50,0.181384534,4,.,0,5,F
BC094,70,Non H6 5AID50,0.345666265,4,.,0,5,F
BC094,113,Non H6 5AID50,0.297058175,4,.,0,5,F
BC094,169,Non H6 5AID50,2.291485921,4,.,0,5,F
BC094,337,Non H6 5AID50,0.286350461,4,.,0,5,F
BC094,435,Non H6 5AID50,0.118985681,4,.,0,5,F
BC179,-21,Non H6 5AID50,0.04374083,4,.,0,5,F
BC179,15,Non H6 5AID50,0.01,4,0,1,5,F
BC179,36,Non H6 5AID50,0.023071719,4,.,0,5,F
BC179,70,Non H6 5AID50,0.474900367,4,.,0,5,F
BC179,113,Non H6 5AID50,0.262411316,4,.,0,5,F
BC179,169,Non H6 5AID50,0.331049768,4,.,0,5,F
BC179,337,Non H6 5AID50,1.782025137,4,.,0,5,F
BC179,437,Non H6 5AID50,0.152989526,4,.,0,5,F
BD536,-21,Non H6 5AID50,0.286986045,4,.,0,5,F
BD536,15,Non H6 5AID50,0.325441266,4,.,0,5,F
BD536,36,Non H6 5AID50,0.01,4,0,1,5,F
BD536,70,Non H6 5AID50,0.264864554,4,.,0,5,F
BD536,113,Non H6 5AID50,0.013537674,4,.,0,5,F
BD536,169,Non H6 5AID50,1.607895316,4,.,0,5,F
BD536,337,Non H6 5AID50,0.663411897,4,.,0,5,F
BD536,561,Non H6 5AID50,1.934956537,4,.,0,5,F
BO186,-21,Non H6 5AID50,0.18570836,4,.,0,5,F
BO186,15,Non H6 5AID50,0.387182286,4,.,0,5,F
BO186,36,Non H6 5AID50,0.01,4,0,1,5,F
BO186,70,Non H6 5AID50,1.20662918,4,.,0,5,F
BO186,113,Non H6 5AID50,2.616190397,4,.,0,5,F
BO186,169,Non H6 5AID50,2.687113563,4,.,0,5,F
BO186,337,Non H6 5AID50,0.854420446,4,.,0,5,F
BO186,563,Non H6 5AID50,3.292507764,4,.,0,5,F
AV979,-21,Non H6 50AID50,0.01,4,0,1,50,F
AV979,15,Non H6 50AID50,0.01,4,0,1,50,F
AV979,70,Non H6 50AID50,0.01,4,0,1,50,F
AV979,169,Non H6 50AID50,0.01,4,0,1,50,F
AV979,337,Non H6 50AID50,0.84708099,4,.,0,50,F
AV979,442,Non H6 50AID50,0.01,4,0,1,50,F
BB598,-21,Non H6 50AID50,0.01,4,0,1,50,F
BB598,15,Non H6 50AID50,0.301125833,4,.,0,50,F
BB598,36,Non H6 50AID50,1.21133579,4,.,0,50,F
BB598,70,Non H6 50AID50,0.232926562,4,.,0,50,F
BB598,113,Non H6 50AID50,0.68075224,4,.,0,50,F
BB598,169,Non H6 50AID50,0.01,4,0,1,50,F
BB598,337,Non H6 50AID50,2.568372801,4,.,0,50,F
BB598,507,Non H6 50AID50,0.338115845,4,.,0,50,F
BD885,-21,Non H6 50AID50,0.01,4,0,1,50,F
BD885,15,Non H6 50AID50,0.01,4,0,1,50,F
BD885,36,Non H6 50AID50,0.331030044,4,.,0,50,F
BD885,70,Non H6 50AID50,0.203106736,4,.,0,50,F
BD885,113,Non H6 50AID50,0.868682258,4,.,0,50,F
BD885,169,Non H6 50AID50,0.064949864,4,.,0,50,F
BD885,337,Non H6 50AID50,0.691513059,4,.,0,50,F
BD885,511,Non H6 50AID50,0.01,4,0,1,50,F
BG927,-21,Non H6 50AID50,0.013240589,4,.,0,50,F
BG927,15,Non H6 50AID50,0.053927818,4,.,0,50,F
BG927,36,Non H6 50AID50,1.542664391,4,.,0,50,F
BG927,70,Non H6 50AID50,2.515267164,4,.,0,50,F
BG927,113,Non H6 50AID50,0.875515594,4,.,0,50,F
BG927,169,Non H6 50AID50,6.47317758,4,.,0,50,F
BG927,337,Non H6 50AID50,1.232636047,4,.,0,50,F
BG927,535,Non H6 50AID50,0.782042992,4,.,0,50,F
BL669,-21,Non H6 50AID50,0.031421031,4,.,0,50,F
BL669,15,Non H6 50AID50,0.26207068,4,.,0,50,F
BL669,36,Non H6 50AID50,0.633174359,4,.,0,50,F
BL669,70,Non H6 50AID50,0.240228856,4,.,0,50,F
BL669,113,Non H6 50AID50,1.528879891,4,.,0,50,F
BL669,169,Non H6 50AID50,1.116476952,4,.,0,50,F
BL669,337,Non H6 50AID50,2.774422031,4,.,0,50,F
BL669,528,Non H6 50AID50,2.511975564,4,.,0,50,F
BO413,-21,Non H6 50AID50,0.01,4,0,1,50,F
BO413,15,Non H6 50AID50,0.254485124,4,.,0,50,F
BO413,36,Non H6 50AID50,2.109275201,4,.,0,50,F
BO413,70,Non H6 50AID50,0.01,4,0,1,50,F
BO413,113,Non H6 50AID50,0.831879268,4,.,0,50,F
BO413,169,Non H6 50AID50,0.981550949,4,.,0,50,F
BO413,337,Non H6 50AID50,4.052151239,4,.,0,50,F
BO413,518,Non H6 50AID50,1.296305224,4,.,0,50,F
